# ns,rw,reg,byte — MAME macqd700 SWIM/IWM trace, 7.5.3 boot, NO floppy.
# Captured 2026-08-06 (Lua taps on 0x50F1E000-0x50F1FFFF).  The byte is
# in bits 31:24 of the tapped word; masking the LOW byte gives all-zeros.
# Default vector for tb_iwm.cpp::test_mame_capture_replay.
28100,R,7,b7
28200,R,6,b7
28300,R,2,b7
28400,R,3,b7
28500,R,e,b7
28600,R,7,b7
28700,R,6,b7
28800,R,2,b7
28900,R,3,b7
29000,R,e,b7
29100,R,c,00
29200,R,1,00
29300,R,3,00
29400,R,5,00
29500,R,d,b7
29600,R,e,b7
29700,R,c,00
29800,R,5,00
29900,R,3,00
30000,R,1,00
30100,R,b,00
30200,R,8,ff
30300,R,9,00
30400,R,d,b7
30500,R,e,b7
30600,R,c,00
30700,R,1,00
30800,R,3,00
30900,R,5,00
31000,R,d,b7
31100,R,e,b7
31200,R,c,00
31300,R,0,00
31400,R,d,b7
31500,R,e,b7
31600,R,c,00
31700,R,1,00
31800,R,2,00
31900,R,d,b7
32000,R,e,b7
32100,R,c,00
32200,R,5,00
32300,R,3,00
32400,R,1,00
32500,R,b,00
32600,R,8,ff
32700,R,9,00
32800,R,d,b7
32900,R,e,b7
33000,R,7,b7
33100,R,6,b7
33200,R,2,b7
33300,R,3,b7
33400,R,e,b7
33500,R,c,00
33600,R,1,00
33700,R,3,00
33800,R,5,00
33900,R,d,b7
34000,R,e,b7
34100,R,c,00
34200,R,0,00
34300,R,d,b7
34400,R,e,b7
34500,R,c,00
34600,R,1,00
34700,R,2,00
34800,R,d,b7
34900,R,e,b7
35000,R,c,00
35100,R,a,00
35200,R,9,00
35300,R,1,00
35400,R,3,00
35500,R,4,00
35600,R,0,00
35700,R,2,00
35800,R,d,b7
35900,R,e,b7
36000,R,c,00
36100,W,6,80
36200,R,8,ff
36300,R,a,ff
36400,R,9,00
36500,R,1,00
36600,R,3,00
36700,R,4,00
36800,R,0,00
36900,R,2,00
37000,R,d,b7
37100,R,e,b7
37200,R,c,00
37300,W,6,80
37400,R,8,ff
37500,R,a,ff
37600,R,9,00
37700,R,1,00
37800,R,3,00
37900,R,4,00
38000,R,0,00
38100,R,2,00
38200,R,d,b7
38300,R,e,b7
38400,R,c,00
38500,W,6,80
38600,R,8,ff
38700,W,6,38
38800,W,4,f5
38900,R,c,ff
39000,R,d,97
39100,R,e,97
39200,R,c,ff
39300,R,c,ff
39400,R,a,ff
39500,R,9,00
39600,R,1,00
39700,R,3,00
39800,R,4,00
39900,R,0,00
40000,R,2,00
40100,R,d,b7
40200,R,e,b7
40300,R,c,00
40400,W,6,80
40500,R,8,ff
40600,W,6,38
40700,W,4,f5
40800,R,c,ff
