# hw_scsi_trace_753_wedge.csv - 53C96 trace-ring dump from the LIVE FPGA
#
# Captured 2026-08-07 on bitstream build_id=0xDD5127F3 while System 7.5.3 sat
# in the 'Starting up...' hang.  Hang signature confirmed to match the
# documented one BEFORE the dump was trusted: loop PCs 0x800a183a /
# 0x800a17b8 / 0x8009e74a / 0x8009e756 in pc-trace, and S+0x1A9 == 0 at
# 0x000A84A8.  Ring quiescence confirmed by sampling wr_ptr twice 1.5 s
# apart (stable at 2711) before freezing.
#
# Format: idx,rw,reg,byte,tstamp   (reg 0..c = 53C96 register, d = pseudo-DMA)
# 4096 entries, wrapped=1, oldest->newest.
0,R,d,62,99955
1,R,d,3d,99955
2,R,d,7c,99956
3,R,d,00,99956
4,R,d,ac,99956
5,R,d,ff,99956
6,R,d,58,99956
7,R,d,41,99956
8,R,d,ee,99956
9,R,d,ff,99956
10,R,d,52,99956
11,R,d,70,99957
12,R,d,01,99957
13,R,d,a0,99957
14,R,d,89,99957
15,R,d,20,99957
16,R,d,54,99957
17,R,d,11,99957
18,R,d,6e,99957
19,R,d,ff,99958
20,R,d,f7,99958
21,R,d,00,99958
22,R,d,28,99958
23,R,d,20,99958
24,R,d,54,99958
25,R,d,11,99958
26,R,d,6e,99958
27,R,d,ff,99959
28,R,d,f9,99959
29,R,d,00,99959
30,R,d,29,99959
31,R,d,70,99959
32,R,d,00,99959
33,R,d,10,99959
34,R,d,2e,99960
35,R,d,00,99960
36,R,d,0a,99960
37,R,d,02,99960
38,R,d,2e,99960
39,R,d,00,99960
40,R,d,07,99960
41,R,d,ff,99960
42,R,d,fe,99960
43,R,d,e7,99961
44,R,d,08,99961
45,R,d,81,99961
46,R,d,2e,99961
47,R,d,ff,99961
48,R,d,fe,99961
49,R,d,70,99961
50,R,d,00,99961
51,R,d,10,99962
52,R,d,2e,99962
53,R,d,00,99962
54,R,d,0b,99962
55,R,d,02,99962
56,R,4,91,99965
57,R,3,90,99966
58,R,c,04,99973
59,W,c,04,99974
60,R,4,11,99974
61,W,0,00,99975
62,W,1,02,99975
63,W,3,90,99975
64,R,d,2e,100040
65,R,d,00,100040
66,R,d,f8,100040
67,R,d,ff,100040
68,R,d,fe,100040
69,R,d,02,100040
70,R,d,00,100040
71,R,d,07,100041
72,R,d,81,100041
73,R,d,2e,100041
74,R,d,ff,100041
75,R,d,fe,100041
76,R,d,20,100041
77,R,d,54,100042
78,R,d,11,100042
79,R,d,6e,100042
80,R,d,ff,100042
81,R,d,fe,100042
82,R,d,00,100042
83,R,d,32,100042
84,R,d,70,100042
85,R,d,2c,100042
86,R,d,2f,100043
87,R,d,00,100043
88,R,d,48,100043
89,R,d,6e,100043
90,R,d,ff,100043
91,R,d,26,100043
92,R,d,4e,100043
93,R,d,ba,100043
94,R,d,f9,100044
95,R,d,68,100044
96,R,d,2d,100044
97,R,d,6e,100044
98,R,d,00,100044
99,R,d,08,100044
100,R,d,ff,100044
101,R,d,32,100044
102,R,d,3d,100045
103,R,d,47,100045
104,R,d,ff,100045
105,R,d,4a,100045
106,R,d,1d,100045
107,R,d,7c,100045
108,R,d,00,100045
109,R,d,85,100046
110,R,d,ff,100046
111,R,d,2e,100046
112,R,d,70,100046
113,R,d,00,100046
114,R,d,2d,100046
115,R,d,40,100046
116,R,d,ff,100046
117,R,d,36,100046
118,R,d,3d,100047
119,R,d,7c,100047
120,R,d,00,100047
121,R,d,2c,100047
122,R,d,ff,100047
123,R,d,2c,100047
124,R,d,41,100047
125,R,d,ee,100047
126,R,d,ff,100048
127,R,d,26,100048
128,R,d,70,100048
129,R,d,01,100048
130,R,d,a0,100048
131,R,d,89,100048
132,R,d,4f,100048
133,R,d,ef,100048
134,R,d,00,100049
135,R,d,10,100049
136,R,d,4c,100049
137,R,d,ee,100049
138,R,d,10,100049
139,R,d,80,100049
140,R,d,ff,100049
141,R,d,1e,100050
142,R,d,4e,100050
143,R,d,5e,100050
144,R,d,4e,100050
145,R,d,75,100050
146,R,d,4e,100050
147,R,d,56,100050
148,R,d,ff,100050
149,R,d,d8,100050
150,R,d,48,100051
151,R,d,e7,100051
152,R,d,03,100051
153,R,d,00,100051
154,R,d,59,100051
155,R,d,8f,100051
156,R,d,3f,100051
157,R,d,3c,100051
158,R,d,a0,100052
159,R,d,89,100052
160,R,d,70,100052
161,R,d,00,100052
162,R,d,1f,100052
163,R,d,00,100052
164,R,d,4e,100052
165,R,d,ba,100052
166,R,d,0a,100053
167,R,d,50,100053
168,R,d,59,100053
169,R,d,8f,100053
170,R,d,3f,100053
171,R,d,3c,100053
172,R,d,a8,100053
173,R,d,9f,100054
174,R,d,70,100054
175,R,d,01,100054
176,R,d,1f,100054
177,R,d,00,100054
178,R,d,4e,100054
179,R,d,ba,100054
180,R,d,0a,100054
181,R,d,42,100054
182,R,d,20,100055
183,R,d,1f,100055
184,R,d,b0,100055
185,R,d,9f,100055
186,R,d,66,100055
187,R,d,18,100055
188,R,d,70,100055
189,R,d,00,100055
190,R,d,10,100056
191,R,d,2e,100056
192,R,d,00,100056
193,R,d,0a,100056
194,R,d,d0,100056
195,R,d,7c,100056
196,R,d,00,100056
197,R,d,20,100056
198,R,d,48,100057
199,R,d,c0,100057
200,R,d,2e,100057
201,R,d,00,100057
202,R,d,2c,100057
203,R,d,07,100057
204,R,d,46,100057
205,R,d,86,100058
206,R,d,48,100058
207,R,d,c6,100058
208,R,d,20,100058
209,R,d,06,100058
210,R,d,60,100058
211,R,d,7a,100058
212,R,d,70,100058
213,R,d,28,100058
214,R,d,2f,100059
215,R,d,00,100059
216,R,d,48,100059
217,R,d,6e,100059
218,R,d,ff,100059
219,R,d,d8,100059
220,R,d,4e,100059
221,R,d,ba,100059
222,R,d,f8,100060
223,R,d,e8,100060
224,R,d,70,100060
225,R,d,00,100060
226,R,d,10,100060
227,R,d,2e,100060
228,R,d,00,100060
229,R,d,0a,100060
230,R,d,3d,100061
231,R,d,40,100061
232,R,d,ff,100061
233,R,d,fc,100061
234,R,d,1d,100061
235,R,d,7c,100061
236,R,d,00,100061
237,R,d,80,100062
238,R,d,ff,100062
239,R,d,e0,100062
240,R,d,70,100062
241,R,d,00,100062
242,R,d,2d,100062
243,R,d,40,100062
244,R,d,ff,100062
245,R,d,e8,100062
246,R,d,3d,100063
247,R,d,7c,100063
248,R,d,00,100063
249,R,d,28,100063
250,R,d,ff,100063
251,R,d,de,100063
252,R,d,41,100063
253,R,d,ee,100063
254,R,d,ff,100064
255,R,d,d8,100064
256,R,d,70,100064
257,R,d,01,100064
258,R,d,a0,100064
259,R,d,89,100064
260,R,d,4a,100064
261,R,d,2e,100064
262,R,d,ff,100065
263,R,d,fe,100065
264,R,d,50,100065
265,R,d,4f,100065
266,R,d,67,100065
267,R,d,1a,100066
268,R,d,10,100066
269,R,d,2e,100066
270,R,d,00,100066
271,R,d,09,100066
272,R,d,b0,100066
273,R,d,2e,100066
274,R,d,ff,100066
275,R,d,e5,100066
276,R,d,66,100066
277,R,d,10,100067
278,R,d,70,100067
279,R,d,00,100067
280,R,d,10,100067
281,R,d,2e,100067
282,R,d,00,100067
283,R,d,0a,100067
284,R,d,d0,100067
285,R,d,7c,100067
286,R,d,00,100068
287,R,d,20,100068
288,R,d,46,100068
289,R,d,40,100068
290,R,d,48,100068
291,R,d,c0,100068
292,R,d,60,100068
293,R,d,28,100068
294,R,d,7e,100069
295,R,d,30,100069
296,R,d,60,100069
297,R,d,18,100069
298,R,d,2c,100069
299,R,d,07,100069
300,R,d,46,100069
301,R,d,86,100070
302,R,d,59,100070
303,R,d,8f,100070
304,R,d,3f,100070
305,R,d,06,100070
306,R,d,4e,100070
307,R,d,ba,100070
308,R,d,0a,100070
309,R,d,16,100070
310,R,d,4a,100071
311,R,d,9f,100071
312,R,d,66,100071
313,R,d,06,100071
314,R,d,48,100071
315,R,d,c6,100071
316,R,d,20,100071
317,R,d,06,100071
318,R,d,60,100072
319,R,d,0e,100072
320,R,d,52,100072
321,R,d,87,100072
322,R,d,30,100072
323,R,d,38,100072
324,R,d,01,100072
325,R,d,d2,100072
326,R,d,48,100073
327,R,d,c0,100073
328,R,d,b0,100073
329,R,d,87,100073
330,R,d,62,100073
331,R,d,de,100073
332,R,d,70,100073
333,R,d,00,100073
334,R,d,4c,100074
335,R,d,ee,100074
336,R,d,00,100074
337,R,d,c0,100074
338,R,d,ff,100074
339,R,d,d0,100074
340,R,d,4e,100074
341,R,d,5e,100074
342,R,d,4e,100075
343,R,d,75,100075
344,R,d,4e,100075
345,R,d,56,100075
346,R,d,ff,100075
347,R,d,54,100075
348,R,d,48,100075
349,R,d,e7,100075
350,R,d,01,100076
351,R,d,08,100076
352,R,d,59,100076
353,R,d,8f,100076
354,R,d,3f,100076
355,R,d,3c,100076
356,R,d,a0,100076
357,R,d,89,100076
358,R,d,70,100077
359,R,d,00,100077
360,R,d,1f,100077
361,R,d,00,100077
362,R,d,4e,100077
363,R,d,ba,100077
364,R,d,09,100077
365,R,d,8a,100078
366,R,d,59,100078
367,R,d,8f,100078
368,R,d,3f,100078
369,R,d,3c,100078
370,R,d,a8,100078
371,R,d,9f,100078
372,R,d,70,100078
373,R,d,01,100078
374,R,d,1f,100079
375,R,d,00,100079
376,R,d,4e,100079
377,R,d,ba,100079
378,R,d,09,100079
379,R,d,7c,100079
380,R,d,20,100079
381,R,d,1f,100079
382,R,d,b0,100080
383,R,d,9f,100080
384,R,d,66,100080
385,R,d,04,100080
386,R,d,70,100080
387,R,d,00,100080
388,R,d,60,100080
389,R,d,68,100080
390,R,d,48,100081
391,R,d,78,100081
392,R,d,00,100081
393,R,d,ac,100081
394,R,d,48,100081
395,R,d,6e,100081
396,R,d,ff,100081
397,R,d,54,100082
398,R,d,4e,100082
399,R,d,ba,100082
400,R,d,f8,100082
401,R,d,36,100082
402,R,d,2d,100082
403,R,d,6e,100082
404,R,d,00,100082
405,R,d,08,100082
406,R,d,ff,100083
407,R,d,60,100083
408,R,d,70,100083
409,R,d,00,100083
410,R,d,2d,100083
411,R,d,40,100083
412,R,d,ff,100083
413,R,d,68,100083
414,R,d,1d,100084
415,R,d,7c,100084
416,R,d,00,100084
417,R,d,03,100084
418,R,d,ff,100084
419,R,d,5c,100084
420,R,d,2d,100084
421,R,d,40,100084
422,R,d,ff,100085
423,R,d,64,100085
424,R,d,3d,100085
425,R,d,7c,100085
426,R,d,00,100085
427,R,d,ac,100085
428,R,d,ff,100085
429,R,d,5a,100086
430,R,d,41,100086
431,R,d,ee,100086
432,R,d,ff,100086
433,R,d,54,100086
434,R,d,70,100086
435,R,d,01,100086
436,R,d,a0,100086
437,R,d,89,100086
438,R,d,4a,100087
439,R,d,40,100087
440,R,d,50,100087
441,R,d,4f,100087
442,R,d,67,100087
443,R,d,04,100087
444,R,d,70,100087
445,R,d,00,100087
446,R,d,60,100088
447,R,d,2e,100088
448,R,d,70,100088
449,R,d,00,100088
450,R,d,10,100088
451,R,d,2e,100088
452,R,d,00,100088
453,R,d,09,100088
454,R,d,0c,100089
455,R,d,40,100089
456,R,d,00,100089
457,R,d,ff,100089
458,R,d,66,100089
459,R,d,0a,100089
460,R,d,7e,100089
461,R,d,00,100090
462,R,d,3e,100090
463,R,d,2e,100090
464,R,d,ff,100090
465,R,d,82,100090
466,R,d,4a,100090
467,R,d,87,100090
468,R,d,60,100090
469,R,d,08,100090
470,R,d,7e,100091
471,R,d,00,100091
472,R,d,3e,100091
473,R,d,2e,100091
474,R,d,ff,100091
475,R,d,80,100091
476,R,d,4a,100091
477,R,d,87,100091
478,R,d,20,100092
479,R,d,07,100092
480,R,d,a7,100092
481,R,d,1e,100092
482,R,d,28,100092
483,R,d,48,100092
484,R,d,20,100092
485,R,d,0c,100092
486,R,d,67,100093
487,R,d,04,100093
488,R,d,39,100093
489,R,d,47,100093
490,R,d,00,100093
491,R,d,06,100093
492,R,d,20,100093
493,R,d,0c,100094
494,R,d,4c,100094
495,R,d,ee,100094
496,R,d,10,100094
497,R,d,80,100094
498,R,d,ff,100094
499,R,d,4c,100094
500,R,d,4e,100094
501,R,d,5e,100094
502,R,d,4e,100095
503,R,d,75,100095
504,R,d,4e,100095
505,R,d,56,100095
506,R,d,ff,100095
507,R,d,50,100095
508,R,d,59,100095
509,R,d,8f,100095
510,R,d,3f,100096
511,R,d,3c,100096
512,R,d,a0,100096
513,R,d,89,100096
514,R,d,70,100096
515,R,d,00,100096
516,R,d,1f,100096
517,R,d,00,100096
518,R,d,4e,100097
519,R,d,ba,100097
520,R,d,08,100097
521,R,d,ee,100097
522,R,d,59,100097
523,R,d,8f,100097
524,R,d,3f,100097
525,R,d,3c,100098
526,R,d,a8,100098
527,R,d,9f,100098
528,R,d,70,100098
529,R,d,01,100098
530,R,d,1f,100098
531,R,d,00,100098
532,R,d,4e,100098
533,R,d,ba,100098
534,R,d,08,100099
535,R,d,e0,100099
536,R,d,20,100099
537,R,d,1f,100099
538,R,d,b0,100099
539,R,d,9f,100099
540,R,d,66,100099
541,R,d,04,100099
542,R,d,70,100100
543,R,d,01,100100
544,R,d,60,100100
545,R,d,4a,100100
546,R,d,42,100100
547,R,d,2e,100100
548,R,d,ff,100100
549,R,d,50,100100
550,R,d,1d,100101
551,R,d,7c,100101
552,R,d,00,100101
553,R,d,ff,100101
554,R,d,51,100101
555,R,d,42,100101
556,R,d,6e,100102
557,R,d,ff,100102
558,R,d,52,100102
559,R,d,48,100102
560,R,d,78,100102
561,R,d,00,100102
562,R,d,ac,100102
563,R,d,48,100102
564,R,d,6e,100102
565,R,d,ff,100103
566,R,d,54,100103
567,R,d,4e,100103
568,R,d,ba,100103
569,R,d,f7,100103
570,R,d,8c,100103
571,R,d,2d,100103
572,R,d,6e,100103
573,R,d,ff,100104
574,R,4,91,100106
575,R,3,90,100107
576,R,c,04,100115
577,W,c,04,100115
578,R,4,11,100115
579,W,0,00,100116
580,W,1,02,100117
581,W,3,90,100117
582,R,d,50,100181
583,R,d,ff,100181
584,R,d,60,100181
585,R,d,70,100182
586,R,d,00,100182
587,R,d,2d,100182
588,R,d,40,100182
589,R,d,ff,100182
590,R,d,68,100182
591,R,d,1d,100182
592,R,d,7c,100183
593,R,d,00,100183
594,R,d,03,100183
595,R,d,ff,100183
596,R,d,5c,100183
597,R,d,2d,100183
598,R,d,40,100183
599,R,d,ff,100183
600,R,d,64,100183
601,R,d,3d,100184
602,R,d,7c,100184
603,R,d,00,100184
604,R,d,ac,100184
605,R,d,ff,100184
606,R,d,5a,100184
607,R,d,41,100184
608,R,d,ee,100184
609,R,d,ff,100185
610,R,d,54,100185
611,R,d,70,100185
612,R,d,01,100185
613,R,d,a0,100185
614,R,d,89,100185
615,R,d,70,100185
616,R,d,00,100185
617,R,d,10,100186
618,R,d,2e,100186
619,R,d,ff,100186
620,R,d,98,100186
621,R,d,52,100186
622,R,d,40,100186
623,R,d,48,100186
624,R,d,c0,100187
625,R,d,50,100187
626,R,d,4f,100187
627,R,d,4e,100187
628,R,d,5e,100187
629,R,d,4e,100187
630,R,d,75,100187
631,R,d,4e,100187
632,R,d,56,100187
633,R,d,ff,100188
634,R,d,54,100188
635,R,d,48,100188
636,R,d,e7,100188
637,R,d,11,100188
638,R,d,08,100188
639,R,d,28,100188
640,R,d,6e,100188
641,R,d,00,100189
642,R,d,0c,100189
643,R,d,59,100189
644,R,d,8f,100189
645,R,d,3f,100189
646,R,d,3c,100189
647,R,d,a0,100189
648,R,d,89,100189
649,R,d,70,100190
650,R,d,00,100190
651,R,d,1f,100190
652,R,d,00,100190
653,R,d,4e,100190
654,R,d,ba,100190
655,R,d,08,100190
656,R,d,6e,100190
657,R,d,59,100191
658,R,d,8f,100191
659,R,d,3f,100191
660,R,d,3c,100191
661,R,d,a8,100191
662,R,d,9f,100191
663,R,d,70,100191
664,R,d,01,100191
665,R,d,1f,100192
666,R,d,00,100192
667,R,d,4e,100192
668,R,d,ba,100192
669,R,d,08,100192
670,R,d,60,100192
671,R,d,20,100192
672,R,d,1f,100192
673,R,d,b0,100193
674,R,d,9f,100193
675,R,d,66,100193
676,R,d,1a,100193
677,R,d,38,100193
678,R,d,bc,100193
679,R,d,00,100193
680,R,d,07,100193
681,R,d,72,100194
682,R,d,00,100194
683,R,d,12,100194
684,R,d,2e,100194
685,R,d,00,100194
686,R,d,09,100194
687,R,d,4a,100194
688,R,d,81,100195
689,R,d,57,100195
690,R,d,c3,100195
691,R,d,44,100195
692,R,d,03,100195
693,R,d,53,100195
694,R,d,03,100195
695,R,d,97,100195
696,R,d,03,100195
697,R,d,52,100196
698,R,d,03,100196
699,R,d,10,100196
700,R,d,03,100196
701,R,d,60,100196
702,R,d,44,100196
703,R,d,48,100196
704,R,d,78,100196
705,R,d,00,100197
706,R,d,ac,100197
707,R,d,48,100197
708,R,d,6e,100197
709,R,d,ff,100197
710,R,d,54,100197
711,R,d,4e,100197
712,R,d,ba,100197
713,R,d,f7,100198
714,R,d,04,100198
715,R,d,2d,100198
716,R,d,6e,100198
717,R,d,00,100198
718,R,d,08,100198
719,R,d,ff,100198
720,R,d,60,100199
721,R,d,70,100199
722,R,d,00,100199
723,R,d,2d,100199
724,R,d,40,100199
725,R,d,ff,100199
726,R,d,68,100199
727,R,d,1d,100199
728,R,d,7c,100199
729,R,d,00,100200
730,R,d,03,100200
731,R,d,ff,100200
732,R,d,5c,100200
733,R,d,2d,100200
734,R,d,40,100200
735,R,d,ff,100200
736,R,d,64,100200
737,R,d,3d,100201
738,R,d,7c,100201
739,R,d,00,100201
740,R,d,ac,100201
741,R,d,ff,100201
742,R,d,5a,100201
743,R,d,41,100201
744,R,d,ee,100201
745,R,d,ff,100202
746,R,d,54,100202
747,R,d,70,100202
748,R,d,01,100202
749,R,d,a0,100202
750,R,d,89,100202
751,R,d,3e,100202
752,R,d,00,100203
753,R,d,50,100203
754,R,d,4f,100203
755,R,d,67,100203
756,R,d,04,100203
